saving,actual_price,diff,make,odometer,year,model,body_style,kbb_price,state,city,ext_color,int_color,car_url,drive_line,transmission,city_fuel_economy,engine,doors,vin,zipCode,driveTrain,classification,trim,uuid,account_id
0.0,12998,0,Kia,51961,2018,Sportage,SUV,12998,NY,Rockville Centre,Black Cherry,GRA,https://www.hertzcarsales.com/certified/Kia/2018-Kia-Sportage-9be2fded0a0e0a1701a6410a0c13baec.htm,Front-wheel Drive,Automatic,23,I-4 cyl,4,KNDPM3AC4J7360541,11570,Front-wheel Drive,primary,LX,9be2fded0a0e0a1701a6410a0c13baec,hertzcarsalesrockvillecenter
0.0,13498,0,Ford,40154,2017,Escape,SUV,13498,NY,Rockville Centre,null,null,https://www.hertzcarsales.com/certified/Ford/2017-Ford-Escape-332373340a0e0a1774ba5a3baab72103.htm,Front-wheel Drive,Automatic,23,I-4 cyl,4,1FMCU0GD1HUE22384,11570,Front-wheel Drive,primary,SE,332373340a0e0a1774ba5a3baab72103,hertzcarsalesrockvillecenter
0.0,15398,0,Chevrolet,45853,2018,Equinox,SUV,15398,NY,Rockville Centre,White,Summit,BLA,https://www.hertzcarsales.com/certified/Chevrolet/2018-Chevrolet-Equinox-7d91aaae0a0e0a6b10e26e5186fb6399.htm,All-wheel Drive,Automatic,24,I-4 cyl,4,3GNAXSEV6JS594272,11570,All-wheel Drive,primary,LT,7d91aaae0a0e0a6b10e26e5186fb6399,hertzcarsalesrockvillecenter
0.0,15598,0,Hyundai,26968,2019,Kona,SUV,15598,NY,Rockville Centre,Thunder Gray,BLA,https://www.hertzcarsales.com/certified/Hyundai/2019-Hyundai-Kona-c7546da20a0e0ae8084f5a2982bec12a.htm,All-wheel Drive,Automatic,25,I-4 cyl,4,KM8K1CAA5KU340427,11570,All-wheel Drive,primary,SE,c7546da20a0e0ae8084f5a2982bec12a,hertzcarsalesrockvillecenter
0.0,15998,0,Buick,38354,2019,Encore,SUV,15998,NY,Rockville Centre,Summit White,BLA,https://www.hertzcarsales.com/certified/Buick/2019-Buick-Encore-b9d1527d0a0e0adf666e9d8a3612edc0.htm,All-wheel Drive,Automatic,24,I-4 cyl,4,KL4CJGSM9KB770055,11570,All-wheel Drive,primary,Essence,b9d1527d0a0e0adf666e9d8a3612edc0,hertzcarsalesrockvillecenter
0.0,15998,0,Toyota,31430,2019,C-HR,SUV,15998,NY,Rockville Centre,Silver Knockout,Black,https://www.hertzcarsales.com/certified/Toyota/2019-Toyota-C-HR-5d56a9c70a0d04fe624e8cef4ed16edd.htm,Front-wheel Drive,Automatic,27,I-4 cyl,4,JTNKHMBX7K1033377,11570,Front-wheel Drive,primary,LE,5d56a9c70a0d04fe624e8cef4ed16edd,hertzcarsalesrockvillecenter
0.0,16498,0,Toyota,25593,2019,C-HR,SUV,16498,NY,Rockville Centre,Magnetic Gray,Black,https://www.hertzcarsales.com/certified/Toyota/2019-Toyota-C-HR-763dbee50a0d04fe088d71cf4aeb6642.htm,Front-wheel Drive,Automatic,27,I-4 cyl,4,JTNKHMBX3K1035658,11570,Front-wheel Drive,primary,LE,763dbee50a0d04fe088d71cf4aeb6642,hertzcarsalesrockvillecenter
0.0,17498,0,GMC,45542,2019,Terrain,SUV,17498,NY,Rockville Centre,Quicksilver,BLA,https://www.hertzcarsales.com/certified/GMC/2019-GMC-Terrain-332373930a0e0a1774ba5a3b9aa1a33c.htm,Front-wheel Drive,Automatic,26,I-4 cyl,4,3GKALPEV0KL187405,11570,Front-wheel Drive,primary,SLT,332373930a0e0a1774ba5a3b9aa1a33c,hertzcarsalesrockvillecenter
0.0,17698,0,Nissan,42987,2018,Pathfinder,SUV,17698,NY,Rockville Centre,White,Glacier,BLA,https://www.hertzcarsales.com/certified/Nissan/2018-Nissan-Pathfinder-87e33c200a0e0adf2ba66a59a77081ea.htm,4x4,Automatic,19,V-6 cyl,4,5N1DR2MMXJC654094,11570,4x4,primary,SV,87e33c200a0e0adf2ba66a59a77081ea,hertzcarsalesrockvillecenter
0.0,17998,0,Dodge,41288,2019,Journey,SUV,17998,NY,Rockville Centre,Grey,Destroyer,Black,https://www.hertzcarsales.com/certified/Dodge/2019-Dodge-Journey-28ceb0c60a0e0ae827b60b9949dd120d.htm,All-wheel Drive,Automatic,16,V-6 cyl,4,3C4PDDGG1KT701701,11570,All-wheel Drive,primary,Crossroad,28ceb0c60a0e0ae827b60b9949dd120d,hertzcarsalesrockvillecenter
0.0,18498,0,Dodge,31473,2019,Journey,SUV,18498,NY,Rockville Centre,White,Vice,Black,https://www.hertzcarsales.com/certified/Dodge/2019-Dodge-Journey-332374730a0e0a1774ba5a3bdfcbdcfd.htm,All-wheel Drive,Automatic,16,V-6 cyl,4,3C4PDDGG8KT687361,11570,All-wheel Drive,primary,Crossroad,332374730a0e0a1774ba5a3bdfcbdcfd,hertzcarsalesrockvillecenter
